dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,ano
2000-01-01,2.95,0.091,8.349,0.103,-2.322,0.072,13.773,0.064,2000
2000-02-01,4.184,0.093,9.863,0.096,-1.371,0.092,14.265999999999998,0.065,2000
2000-03-01,6.218999999999999,0.12,12.204999999999998,0.133,0.3759999999999999,0.0819999999999999,14.845999999999998,0.069,2000
2000-04-01,9.552,0.075,15.534,0.156,3.68,0.153,15.762,0.062,2000
2000-05-01,11.874,0.064,17.721,0.127,5.997000000000001,0.2,16.395,0.061,2000
2000-06-01,14.06,0.1,19.847,0.206,8.243,0.161,17.0,0.067,2000
2000-07-01,14.848,0.12,20.665,0.107,9.098,0.098,17.242,0.066,2000
2000-08-01,14.519,0.086,20.308,0.095,8.796,0.152,17.243000000000002,0.063,2000
2000-09-01,12.547,0.058,18.373,0.115,6.822,0.142,16.613,0.061,2000
2000-10-01,9.486,0.047,15.069,0.134,4.0,0.097,15.588,0.06,2000
2000-11-01,6.312,0.084,11.67,0.092,0.996,0.064,14.632,0.062,2000
2000-12-01,3.863,0.064,9.182,0.108,-1.3330000000000002,0.072,13.968,0.062,2000
