dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
2000-01-01,26.081,0.369,Amazonas,Brazil
2000-02-01,26.144,0.326,Amazonas,Brazil
2000-03-01,26.217,0.308,Amazonas,Brazil
2000-04-01,26.036,0.211,Amazonas,Brazil
2000-05-01,26.434,0.283,Amazonas,Brazil
2000-06-01,26.251,0.346,Amazonas,Brazil
2000-07-01,25.656999999999996,0.309,Amazonas,Brazil
2000-08-01,26.948,0.193,Amazonas,Brazil
2000-09-01,26.975,0.162,Amazonas,Brazil
2000-10-01,26.893,0.184,Amazonas,Brazil
2000-11-01,27.09800000000001,0.281,Amazonas,Brazil
2000-12-01,26.776999999999997,0.244,Amazonas,Brazil
2001-01-01,25.795,0.231,Amazonas,Brazil
2001-02-01,26.125,0.18,Amazonas,Brazil
2001-03-01,26.502,0.202,Amazonas,Brazil
2001-04-01,26.597,0.14,Amazonas,Brazil
2001-05-01,26.513,0.165,Amazonas,Brazil
2001-06-01,25.007,0.331,Amazonas,Brazil
2001-07-01,26.112,0.331,Amazonas,Brazil
2001-08-01,27.187,0.621,Amazonas,Brazil
2001-09-01,27.216,0.136,Amazonas,Brazil
2001-10-01,27.686,0.136,Amazonas,Brazil
2001-11-01,27.704,0.16,Amazonas,Brazil
2001-12-01,26.904,0.28,Amazonas,Brazil
2002-01-01,26.88,0.24,Amazonas,Brazil
2002-02-01,26.74,0.126,Amazonas,Brazil
2002-03-01,26.723000000000003,0.233,Amazonas,Brazil
2002-04-01,26.464,0.202,Amazonas,Brazil
2002-05-01,26.687,0.268,Amazonas,Brazil
2002-06-01,26.101,0.182,Amazonas,Brazil
2002-07-01,26.673,0.356,Amazonas,Brazil
2002-08-01,27.145,0.314,Amazonas,Brazil
2002-09-01,27.64,0.149,Amazonas,Brazil
2002-10-01,27.212,0.185,Amazonas,Brazil
2002-11-01,27.073,0.227,Amazonas,Brazil
2002-12-01,26.78,0.238,Amazonas,Brazil
2003-01-01,27.475,0.235,Amazonas,Brazil
2003-02-01,27.003,0.29,Amazonas,Brazil
2003-03-01,26.888,0.141,Amazonas,Brazil
2003-04-01,26.768,0.316,Amazonas,Brazil
2003-05-01,26.776,0.249,Amazonas,Brazil
2003-06-01,26.615,0.405,Amazonas,Brazil
2003-07-01,26.425,0.226,Amazonas,Brazil
2003-08-01,26.702,0.448,Amazonas,Brazil
2003-09-01,27.023000000000003,0.177,Amazonas,Brazil
2003-10-01,27.215,0.223,Amazonas,Brazil
2003-11-01,27.165000000000006,0.343,Amazonas,Brazil
2003-12-01,27.213,0.313,Amazonas,Brazil
2004-01-01,27.053,0.16,Amazonas,Brazil
2004-02-01,26.757,0.254,Amazonas,Brazil
2004-03-01,26.856,0.268,Amazonas,Brazil
2004-04-01,26.891,0.25,Amazonas,Brazil
2004-05-01,26.054,0.205,Amazonas,Brazil
2004-06-01,26.093000000000004,0.235,Amazonas,Brazil
2004-07-01,26.296999999999997,0.1369999999999999,Amazonas,Brazil
2004-08-01,27.038,0.186,Amazonas,Brazil
2004-09-01,27.099,0.168,Amazonas,Brazil
2004-10-01,27.513,0.272,Amazonas,Brazil
2004-11-01,27.479000000000006,0.2,Amazonas,Brazil
2004-12-01,27.308000000000003,0.301,Amazonas,Brazil
2005-01-01,27.471,0.461,Amazonas,Brazil
2005-02-01,26.947000000000006,0.174,Amazonas,Brazil
2005-03-01,27.096,0.203,Amazonas,Brazil
2005-04-01,26.838,0.296,Amazonas,Brazil
2005-05-01,27.327,0.444,Amazonas,Brazil
2005-06-01,27.173,0.249,Amazonas,Brazil
2005-07-01,26.578000000000007,0.158,Amazonas,Brazil
2005-08-01,27.536,0.23,Amazonas,Brazil
2005-09-01,27.504,0.438,Amazonas,Brazil
2005-10-01,27.542,0.195,Amazonas,Brazil
2005-11-01,27.491000000000003,0.121,Amazonas,Brazil
2005-12-01,26.69400000000001,0.173,Amazonas,Brazil
