dt,AverageTemperature,AverageTemperatureUncertainty,Country
2000-01-01,25.653,0.155,Brazil
2000-02-01,25.463,0.162,Brazil
2000-03-01,25.446,0.187,Brazil
2000-04-01,25.101999999999997,0.092,Brazil
2000-05-01,24.614,0.216,Brazil
2000-06-01,24.268,0.246,Brazil
2000-07-01,23.17,0.178,Brazil
2000-08-01,25.11,0.195,Brazil
2000-09-01,25.381,0.134,Brazil
2000-10-01,26.393,0.134,Brazil
2000-11-01,25.916,0.098,Brazil
2000-12-01,25.842,0.184,Brazil
2001-01-01,25.55,0.171,Brazil
2001-02-01,25.881,0.227,Brazil
2001-03-01,25.882,0.138,Brazil
2001-04-01,25.82,0.175,Brazil
2001-05-01,24.84,0.175,Brazil
2001-06-01,23.497,0.225,Brazil
2001-07-01,24.344,0.143,Brazil
2001-08-01,25.441,0.182,Brazil
2001-09-01,26.014,0.142,Brazil
2001-10-01,26.253,0.129,Brazil
2001-11-01,26.507,0.168,Brazil
2001-12-01,26.024,0.1639999999999999,Brazil
2002-01-01,25.837000000000003,0.199,Brazil
2002-02-01,25.868,0.133,Brazil
2002-03-01,26.311,0.161,Brazil
2002-04-01,25.881,0.115,Brazil
2002-05-01,25.363000000000003,0.211,Brazil
2002-06-01,24.241999999999997,0.21,Brazil
2002-07-01,24.514,0.171,Brazil
2002-08-01,25.774,0.157,Brazil
2002-09-01,25.908,0.152,Brazil
2002-10-01,26.956,0.155,Brazil
2002-11-01,26.583,0.126,Brazil
2002-12-01,26.366999999999997,0.139,Brazil
2003-01-01,26.392000000000003,0.153,Brazil
2003-02-01,26.13000000000001,0.231,Brazil
2003-03-01,25.930999999999997,0.129,Brazil
2003-04-01,25.594,0.276,Brazil
2003-05-01,24.814,0.172,Brazil
2003-06-01,24.706,0.315,Brazil
2003-07-01,24.305,0.327,Brazil
2003-08-01,24.744,0.297,Brazil
2003-09-01,25.812,0.247,Brazil
2003-10-01,26.206,0.248,Brazil
2003-11-01,26.278,0.186,Brazil
2003-12-01,26.54,0.192,Brazil
2004-01-01,25.956999999999997,0.272,Brazil
2004-02-01,25.584000000000003,0.2,Brazil
2004-03-01,25.896,0.199,Brazil
2004-04-01,25.81600000000001,0.1369999999999999,Brazil
2004-05-01,24.316,0.179,Brazil
2004-06-01,24.02,0.248,Brazil
2004-07-01,23.899,0.17,Brazil
2004-08-01,25.054,0.194,Brazil
2004-09-01,26.314,0.189,Brazil
2004-10-01,26.243,0.226,Brazil
2004-11-01,26.486,0.185,Brazil
2004-12-01,26.373,0.177,Brazil
2005-01-01,26.486,0.184,Brazil
2005-02-01,26.28,0.136,Brazil
2005-03-01,26.19,0.122,Brazil
2005-04-01,25.831999999999997,0.231,Brazil
2005-05-01,25.259,0.209,Brazil
